id, name, scryfall_uri, released_at, uri, 
8d586143-fac0-463f-96ec-c6b9fd582194, Dutiful Thrull, https://scryfall.com/card/gtc/11/dutiful-thrull?utm_source=api, 2013-02-01, https://api.scryfall.com/cards/8d586143-fac0-463f-96ec-c6b9fd582194, 
10c77d2d-ca35-4021-9e29-95be41385fd4, Daily Regimen, https://scryfall.com/card/ddl/18/daily-regimen?utm_source=api, 2013-09-06, https://api.scryfall.com/cards/10c77d2d-ca35-4021-9e29-95be41385fd4, 
a5af083f-5820-4185-ac04-4c4368f7703c, Chained to the Rocks, https://scryfall.com/card/ths/4/chained-to-the-rocks?utm_source=api, 2013-09-27, https://api.scryfall.com/cards/a5af083f-5820-4185-ac04-4c4368f7703c, 
e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a, Ajani's Presence, https://scryfall.com/card/jou/2/ajanis-presence?utm_source=api, 2014-05-02, https://api.scryfall.com/cards/e77e2fd5-5c46-4f6b-ac43-ec23fab57a1a, 
d576b8f2-9b5b-47c0-8f9f-faa209d59595, Deftblade Elite, https://scryfall.com/card/vma/23/deftblade-elite?utm_source=api, 2014-06-16, https://api.scryfall.com/cards/d576b8f2-9b5b-47c0-8f9f-faa209d59595, 
4c8ff6cd-e3ac-4024-aacb-86f7e1f43ba0, Brave the Elements, https://scryfall.com/card/c14/66/brave-the-elements?utm_source=api, 2014-11-07, https://api.scryfall.com/cards/4c8ff6cd-e3ac-4024-aacb-86f7e1f43ba0, 
05f7a3b1-4d92-4d32-a823-2e774c6e7e73, Aven Skirmisher, https://scryfall.com/card/frf/6/aven-skirmisher?utm_source=api, 2015-01-23, https://api.scryfall.com/cards/05f7a3b1-4d92-4d32-a823-2e774c6e7e73, 
fc98e542-4bcc-43e1-9616-64ce40348a34, Dromoka Dunecaster, https://scryfall.com/card/dtk/13/dromoka-dunecaster?utm_source=api, 2015-03-27, https://api.scryfall.com/cards/fc98e542-4bcc-43e1-9616-64ce40348a34, 
750880cd-59bf-4b67-a2d5-9b66e4d05665, Dragon's Eye Sentry, https://scryfall.com/card/dtk/11/dragons-eye-sentry?utm_source=api, 2015-03-27, https://api.scryfall.com/cards/750880cd-59bf-4b67-a2d5-9b66e4d05665, 
ae8a0362-b973-445a-a355-5a2f3dc67f16, Dragon Hunter, https://scryfall.com/card/dtk/10/dragon-hunter?utm_source=api, 2015-03-27, https://api.scryfall.com/cards/ae8a0362-b973-445a-a355-5a2f3dc67f16, 
193af7bd-547b-489b-bf21-6a2873311afc, Anoint, https://scryfall.com/card/tpr/3/anoint?utm_source=api, 2015-05-06, https://api.scryfall.com/cards/193af7bd-547b-489b-bf21-6a2873311afc, 
